name,position,year,height,weight
Curly Armstrong,SG,1950,1.8034,77.097505669
Cliff Barker,PG,1950,1.8796,83.900226757
Leo Barnhorst,SF,1950,1.9304,86.167800454
Ed Bartels,SF,1950,1.9558,88.43537415
Ed Bartels,SF,1950,1.9558,88.43537415
Ed Bartels,SF,1950,1.9558,88.43537415
Ralph Beard,PG,1950,1.778,79.365079365
Gene Berce,SG,1950,1.8034,79.365079365
Charlie Black,PF,1950,1.9558,90.702947846
Charlie Black,PF,1950,1.9558,90.702947846
Charlie Black,PF,1950,1.9558,90.702947846
Nelson Bobb,PG,1950,1.8288,77.097505669
Jake Bornheimer,PF,1950,1.9558,90.702947846
Vince Boryla,SF,1950,1.9558,95.238095238
Don Boven,SF,1950,1.9304,95.238095238
Harry Boykoff,C,1950,2.0828,102.040816327
Joe Bradley,PG,1950,1.905,79.365079365
Bob Brannum,PF,1950,1.9558,97.505668934
Carl Braun,SG,1950,1.9558,81.632653061
Frankie Brian,PG,1950,1.8542,81.632653061
Price Brookfield,SF,1950,1.9304,83.900226757
Bob Brown,SF,1950,1.9304,92.970521542
Jim Browne,C,1950,2.0828,106.575963719
Walt Budko,PF,1950,1.9558,99.77324263
Jack Burmaster,PG,1950,1.905,86.167800454
Tommy Byrnes,SF,1950,1.905,79.365079365
Bill Calhoun,SF,1950,1.905,81.632653061
Don Carlson,SG,1950,1.8288,77.097505669
Bob Carpenter,PF,1950,1.9558,90.702947846
Jake Carter,PF,1950,1.9304,88.43537415
Jake Carter,PF,1950,1.9304,88.43537415
Jake Carter,PF,1950,1.9304,88.43537415
Al Cervi*,,1950,,
John Chaney,PF,1950,1.905,83.900226757
John Chaney,PF,1950,1.905,83.900226757
John Chaney,PF,1950,1.905,83.900226757
Leroy Chollet,SF,1950,1.8796,86.167800454
Bill Closs,PF,1950,1.9558,88.43537415
Paul Cloyd,SG,1950,1.8796,81.632653061
Paul Cloyd,SG,1950,1.8796,81.632653061
Paul Cloyd,SG,1950,1.8796,81.632653061
Jack Coleman,PF,1950,2.0066,88.43537415
Bobby Cook,SG,1950,1.778,70.29478458
Ray Corley,PG,1950,1.8288,81.632653061
Jack Cotton,PF,1950,2.0066,90.702947846
Dillard Crocker,SF,1950,1.9304,92.970521542
Chink Crossin,PG,1950,1.8542,74.829931973
Fran Curran,PG,1950,1.8288,79.365079365
Jimmy Darden,PG,1950,1.8542,77.097505669
Bob Davies*,,1950,,
Hook Dillon,SF,1950,1.905,81.632653061
Earl Dodd,SF,1950,1.9558,79.365079365
Joe Dolhon,PG,1950,1.8288,79.365079365
Bob Doll,PF,1950,1.9558,88.43537415
Harry Donovan,PG,1950,1.8796,81.632653061
Andy Duncan,PF,1950,1.9812,88.43537415
Dike Eddleman,SF,1950,1.905,85.714285714
Gene Englund,PF,1950,1.9558,92.970521542
Gene Englund,PF,1950,1.9558,92.970521542
Gene Englund,PF,1950,1.9558,92.970521542
Bob Evans,PG,1950,1.8796,79.365079365
Johnny Ezersky,SF,1950,1.905,79.365079365
Johnny Ezersky,SF,1950,1.905,79.365079365
Johnny Ezersky,SF,1950,1.905,79.365079365
Bob Feerick,SF,1950,1.905,86.167800454
George Feigenbaum,PG,1950,1.8542,83.900226757
Arnie Ferrin,SF,1950,1.8796,81.632653061
Jerry Fleishman,SG,1950,1.8796,86.167800454
Joe Fulks*,,1950,,
Bill Gabor,SG,1950,1.8034,77.097505669
Elmer Gainer,PF,1950,1.9812,88.43537415
Harry Gallatin*,,1950,,
Vern Gardner,PF,1950,1.9558,90.702947846
Frank Gates,PG,1950,1.8288,72.562358277
Dee Gibson,SF,1950,1.8034,79.365079365
Hoot Gibson,PF,1950,1.9558,89.795918367
Hoot Gibson,PF,1950,1.9558,89.795918367
Hoot Gibson,PF,1950,1.9558,89.795918367
Chuck Gilmur,PF,1950,1.9304,102.040816327
Normie Glick,SF,1950,2.0066,86.167800454
Paul Gordon,SF,1950,1.905,83.900226757
Joe Graboski,PF,1950,2.0066,88.43537415
Bud Grant,SF,1950,1.905,88.43537415
Don Grate,SF,1950,1.8796,83.900226757
Alex Groza,C,1950,2.0066,98.866213152
Al Guokas,SF,1950,1.9558,90.702947846
Al Guokas,SF,1950,1.9558,90.702947846
Al Guokas,SF,1950,1.9558,90.702947846
Robert Hahn,C,1950,2.0828,108.843537415
Chick Halbert,C,1950,2.0574,102.040816327
Bruce Hale,SG,1950,1.8542,77.097505669
Dale Hamilton,SG,1950,1.8288,81.632653061
Alex Hannum*,,1950,,
John Hargis,SG,1950,1.8796,81.632653061
Bob Harris,PF,1950,2.0066,88.43537415
Bob Harrison,PG,1950,1.8542,86.167800454
Billy Hassett,PG,1950,1.8034,81.632653061
Billy Hassett,PG,1950,1.8034,81.632653061
Billy Hassett,PG,1950,1.8034,81.632653061
Marshall Hawkins,SF,1950,1.905,92.970521542
Bill Henry,C,1950,2.0574,97.505668934
Bill Henry,C,1950,2.0574,97.505668934
Bill Henry,C,1950,2.0574,97.505668934
Bill Herman,PG,1950,1.905,77.097505669
Kleggie Hermsen,PF,1950,2.0574,102.040816327
Sonny Hertzberg,PG,1950,1.778,79.365079365
Paul Hoffman,SG,1950,1.8796,88.43537415
Joe Holland,SF,1950,1.9304,83.900226757
Red Holzman*,,1950,,
Gene James,SF,1950,1.9304,81.632653061
Howie Janotta,SF,1950,1.905,83.900226757
Tony Jaros,SF,1950,1.905,83.900226757
Buddy Jeannette*,,1950,,
Arnie Johnson,PF,1950,1.9558,107.029478458
Ralph Johnson,PG,1950,1.8034,77.097505669
Ralph Johnson,PG,1950,1.8034,77.097505669
Ralph Johnson,PG,1950,1.8034,77.097505669
Wah Wah,,1950,,
Noble Jorgensen,C,1950,2.0574,103.401360544
George Kaftan,SF,1950,1.905,86.167800454
Leo Katkaveck,PG,1950,1.8288,83.900226757
Jack Kerris,PF,1950,1.9812,97.505668934
Jack Kerris,PF,1950,1.9812,97.505668934
Jack Kerris,PF,1950,1.9812,97.505668934
Bob Kinney,PF,1950,1.9812,97.505668934
Walt Kirk,SG,1950,1.905,78.458049887
Walt Kirk,SG,1950,1.905,78.458049887
Walt Kirk,SG,1950,1.905,78.458049887
Leo Klier,SF,1950,1.8796,77.097505669
Duane Klueh,PG,1950,1.905,79.365079365
Duane Klueh,PG,1950,1.905,79.365079365
Duane Klueh,PG,1950,1.905,79.365079365
Lee Knorek,C,1950,2.0066,97.505668934
Milo Komenich,PF,1950,2.0066,96.145124717
Leo Kubiak,PG,1950,1.8034,72.562358277
Frank Kudelka,SG,1950,1.8796,87.528344671
Walt Lautenbach,SG,1950,1.8796,83.900226757
Tony Lavelli,SF,1950,1.905,83.900226757
Ed Leede,SF,1950,1.905,83.900226757
Andrew Levane,SF,1950,1.8796,86.167800454
Freddie Lewis,SF,1950,1.8796,88.43537415
Freddie Lewis,SF,1950,1.8796,88.43537415
Freddie Lewis,SF,1950,1.8796,88.43537415
Ron Livingstone,C,1950,2.0828,99.77324263
Ron Livingstone,C,1950,2.0828,99.77324263
Ron Livingstone,C,1950,2.0828,99.77324263
John Logan,PG,1950,1.8796,79.365079365
Ray Lumpp,PG,1950,1.8542,80.725623583
Ed Macauley*,,1950,,
Johnny Macknowski,,1950,,
John Mahnken,C,1950,2.032,99.77324263
John Mahnken,C,1950,2.032,99.77324263
John Mahnken,C,1950,2.032,99.77324263
John Mahnken,C,1950,2.032,99.77324263
John Mandic,PF,1950,1.9304,92.970521542
John Mandic,PF,1950,1.9304,92.970521542
John Mandic,PF,1950,1.9304,92.970521542
Slater Martin*,,1950,,
Ariel Maughan,SF,1950,1.9304,86.167800454
Matt Mazza,SF,1950,1.905,95.238095238
Mike McCarron,PG,1950,1.8034,81.632653061
Mike McCarron,PG,1950,1.8034,81.632653061
Mike McCarron,PG,1950,1.8034,81.632653061
Dick McGuire*,,1950,,
Bones McKinney,PF,1950,1.9812,83.900226757
Mal McMullen,PF,1950,1.9558,95.238095238
Dick Mehen,PF,1950,1.9558,88.43537415
Ken Menke,PG,1950,1.8288,76.19047619
Stan Miasek,PF,1950,1.9558,95.238095238
Ed Mikan,PF,1950,2.032,104.308390023
Ed Mikan,PF,1950,2.032,104.308390023
Ed Mikan,PF,1950,2.032,104.308390023
George Mikan*,,1950,,
Vern Mikkelsen*,,1950,,
Al Miksis,C,1950,2.0066,95.238095238
Murray Mitchell,,1950,,
Leo Mogus,PF,1950,1.9304,86.167800454
Max Morris,PF,1950,1.8796,88.43537415
Joe Mullaney,PG,1950,1.8288,74.829931973
Jerry Nagel,PG,1950,1.8288,86.167800454
Jack Nichols,PF,1950,2.0066,100.680272109
Jack Nichols,PF,1950,2.0066,100.680272109
Jack Nichols,PF,1950,2.0066,100.680272109
Richie Niemiera,SG,1950,1.8542,74.829931973
Richie Niemiera,SG,1950,1.8542,74.829931973
Richie Niemiera,SG,1950,1.8542,74.829931973
Paul Noel,SF,1950,1.9304,83.900226757
Jim Nolan,C,1950,2.032,95.238095238
Johnny Norlander,SF,1950,1.905,81.632653061
George Nostrand,PF,1950,2.032,88.43537415
